X99.7,Not known
N32.6,Operations on penis for erectile dysfunction NEC
N32.8,Other specified other operations on penis
N34.1,Fertility investigation of male NEC
N34.2,Collection of sperm NEC
N34.3,Male colposcopy
N34.5,Percutaneous epididymal sperm aspiration
N35.2,Dermatological non-operative interventions involving the penis
N35.8,Other specified non-operative interventions to male genitalia
O01.4,Percutaneous transluminal coil embolisation of giant aneurysm of artery
O02.1,Percutaneous transluminal balloon assisted coil embolisation of three or more aneurysms of artery
O02.9,Unspecified transluminal balloon assisted coil embolisation of aneurysm of artery
O03.1,Percutaneous transluminal stent assisted coil embolisation of three or more aneurysms of artery
O04.1,Percutaneous transluminal liquid polymer embolisation of aneurysm of artery
O04.2,Percutaneous transluminal stent assisted liquid polymer embolisation of aneurysm of artery
O04.8,Other specified other transluminal embolisation of aneurysm of artery
O04.9,Unspecified other transluminal embolisation of aneurysm of artery
O06.3,Revision of hybrid prosthetic replacement of shoulder joint using cemented humeral component
O07.2,Conversion to hybrid prosthetic replacement of shoulder joint using cemented glenoid component
O07.3,Revision of hybrid prosthetic replacement of shoulder joint using cemented glenoid component
O08.2,Conversion to hybrid prosthetic replacement of shoulder joint using cement NEC
O09.1,Implantation of vertical expanding prosthetic titanium rib
O09.8,Other specified placement of bone prosthesis
O10.9,Unspecified complex reconstruction of shoulder
O12.1,Superficial temporal artery
O16.8,Specified body region NEC
O18.8,Other specified hybrid prosthetic replacement of knee joint using cement
O19.8,Other specified other therapeutic endoscopic operations on other joint structure
O19.9,Unspecified other therapeutic endoscopic operations on other joint structure
O20.1,Endovascular placement of one branched stent graft
O20.9,Unspecified endovascular placement of stent graft
O24.1,Primary prosthetic replacement of head of radius using cement
O24.3,Revision of prosthetic replacement of head of radius using cement
O25.8,Other specified prosthetic replacement of head of radius not using cement
O26.1,Primary prosthetic replacement of head of radius NEC
O26.2,Conversion to prosthetic replacement of head of radius NEC
O26.4,Attention to prosthetic replacement of head of radius NEC
O26.8,Other specified other prosthetic replacement of head of radius
O27.1,Extra-articular ligament reconstruction for stabilisation of joint
O27.3,Repair of capsule and anterior labrum for stabilisation of glenohumeral joint
O27.8,Other specified other stabilising operations on joint
O27.9,Unspecified other stabilising operations on joint
O29.1,Subacromial decompression
O29.8,Other specified excision of bone
O30.2,Splenic flexure
P01.8,Other specified operations on clitoris
P01.9,Unspecified operations on clitoris
P03.1,Excision of Bartholin gland
P03.2,Marsupialisation of Bartholin gland
P03.3,Excision of lesion of Bartholin gland
P03.4,Drainage of Bartholin gland
P03.8,Other specified operations on Bartholin gland
P05.1,Total excision of vulva
P05.3,Marsupialisation of lesion of vulva
P05.4,Excision of lesion of vulva NEC
P05.5,Excision of excess labial tissue
P05.6,Reduction labia minor
P05.8,Other specified excision of vulva
P05.9,Unspecified excision of vulva
P06.1,Laser destruction of lesion of vulva
P06.2,Cryosurgery to lesion of vulva
P06.3,Cauterisation of lesion of vulva
P06.4,Implantation of radioactive substance into vulva
P06.8,Other specified extirpation of lesion of vulva
P06.9,Unspecified extirpation of lesion of vulva
P07.1,Plastic repair of vulva
P07.8,Other specified repair of vulva
P07.9,Unspecified repair of vulva
P09.1,Biopsy of lesion of vulva
P09.2,Drainage of lesion of vulva
P09.3,Evacuation of haematoma from vulva
P09.8,Other specified other operations on vulva
P09.9,Unspecified other operations on vulva
P11.1,Excision of lesion of female perineum
P11.2,Laser destruction of lesion of female perineum
P11.3,Cauterisation of lesion of female perineum
P11.4,Destruction of lesion of female perineum NEC
P11.8,Other specified extirpation of lesion of female perineum
P13.1,Drainage of female perineum
P13.2,Female perineorrhaphy
P13.5,Female perineotomy NEC
P13.7,Excision of sweat gland bearing skin of female perineum
P13.8,Other specified other operations on female perineum
P13.9,Unspecified other operations on female perineum
P14.8,Other specified incision of introitus of vagina
P15.1,Hymenectomy
P15.2,Excision of hymenal tag
P15.4,Incision of hymen
P15.5,Stretching of hymen
P15.8,Other specified other operations on introitus of vagina
P17.1,Total colpectomy
P17.3,Marsupialisation of lesion of vagina
P17.9,Unspecified excision of vagina
P19.2,Excision of septum of vagina NEC
P19.8,Other specified excision of band of vagina
P20.1,Excision of lesion of vagina
P20.2,Laser destruction of lesion of vagina
P20.3,Cauterisation of lesion of vagina
P20.4,Cryotherapy to lesion of vagina
P20.8,Other specified extirpation of lesion of vagina
P20.9,Unspecified extirpation of lesion of vagina
P21.3,Vaginoplasty NEC
P22.3,Posterior colporrhaphy and amputation of cervix uteri NEC
P22.9,Unspecified repair of prolapse of vagina and amputation of cervix uteri
P23.1,Anterior and posterior colporrhaphy NEC
P23.2,Anterior colporrhaphy NEC
P23.3,Posterior colporrhaphy NEC
P23.4,Repair of enterocele NEC
P23.6,Anterior colporrhaphy with mesh reinforcement
P23.7,Posterior colporrhaphy with mesh reinforcement
P23.8,Other specified other repair of prolapse of vagina
P23.9,Unspecified other repair of prolapse of vagina
P24.2,Sacrocolpopexy
P24.3,Repair of vault of vagina using abdominal approach NEC
P24.4,Repair of vault of vagina using vaginal approach NEC
P24.6,Repair of vault of vagina with mesh using vaginal approach
P24.7,Sacrospinous fixation of vagina
P25.2,Repair of urethrovaginal fistula
P25.3,Repair of rectovaginal fistula
P25.4,Repair of uterovaginal fistula
P25.5,Suture of vagina
P25.8,Other specified other repair of vagina
P25.9,Unspecified other repair of vagina
P26.1,Insertion of hodge pessary into vagina
P26.2,Insertion of ring pessary into vagina
P26.3,Removal of supporting pessary from vagina
P26.4,Renewal of supporting pessary in vagina
P26.8,Other specified introduction of supporting pessary into vagina
P26.9,Unspecified introduction of supporting pessary into vagina
P27.1,Evacuation of haematoma from vagina
P27.2,Toilet to vagina
P27.3,Colposcopy of vagina
P27.8,Other specified exploration of vagina
P27.9,Unspecified exploration of vagina
P29.1,Freeing of adhesions of vagina
P29.2,Colpotomy NEC
P29.3,Biopsy of lesion of vagina
P29.4,Removal of foreign body from vagina
P29.5,Dilation of vagina
P29.8,Other specified other operations on vagina
P29.9,Unspecified other operations on vagina
P32.1,Reconstruction of vagina using bowel interposition
P32.8,Other specified other plastic operations on vagina
Q01.1,Amputation of cervix uteri
Q01.2,Wedge excision of cervix uteri and suture HFQ
Q01.3,Excision of lesion of cervix uteri
Q01.4,Large loop excision of transformation zone
Q01.8,Other specified excision of cervix uteri
Q01.9,Unspecified excision of cervix uteri
Q02.1,Avulsion of lesion of cervix uteri
Q02.2,Laser destruction of lesion of cervix uteri
Q02.3,Cauterisation of lesion of cervix uteri
Q02.4,Cryotherapy to lesion of cervix uteri
Q02.8,Other specified destruction of lesion of cervix uteri
Q02.9,Unspecified destruction of lesion of cervix uteri
Q03.1,Knife cone biopsy of cervix uteri
Q03.2,Laser cone biopsy of cervix uteri
Q03.3,Cone biopsy of cervix uteri NEC
Q03.4,Punch biopsy of cervix uteri
Q03.5,Ring biopsy of cervix uteri
Q03.8,Other specified biopsy of cervix uteri
Q03.9,Unspecified biopsy of cervix uteri
Q05.1,Repair of cervix uteri NEC
Q05.2,Dilation of cervix uteri
Q05.8,Other specified other operations on cervix uteri
Q05.9,Unspecified other operations on cervix uteri
Q07.1,Abdominal hysterocolpectomy and excision of periuterine tissue
Q07.3,Abdominal hysterocolpectomy NEC
Q07.4,Total abdominal hysterectomy NEC
Q07.5,Subtotal abdominal hysterectomy
Q07.9,Unspecified abdominal excision of uterus
Q08.2,Vaginal hysterectomy and excision of periuterine tissue NEC
Q08.9,Unspecified vaginal excision of uterus
Q09.1,Open removal of products of conception from uterus
Q09.2,Open myomectomy
Q09.3,Open excision of lesion of uterus NEC
Q09.4,Open biopsy of lesion of uterus
Q09.8,Other specified other open operations on uterus
Q10.1,Dilation of cervix uteri and curettage of products of conception from uterus
Q10.2,Curettage of products of conception from uterus NEC
Q10.3,Dilation of cervix uteri and curettage of uterus NEC
Q10.8,Other specified curettage of uterus
Q10.9,Unspecified curettage of uterus
Q11.1,Vacuum aspiration of products of conception from uterus NEC
Q11.2,Dilation of cervix uteri and evacuation of products of conception from uterus NEC
Q11.3,Evacuation of products of conception from uterus NEC
Q11.4,Extraction of menses
Q11.5,Vacuum aspiration of products of conception from uterus using rigid cannula
Q11.6,Vacuum aspiration of products of conception from uterus using flexible cannula
Q11.8,Other specified other evacuation of contents of uterus
Q11.9,Unspecified other evacuation of contents of uterus
Q12.1,Introduction of intrauterine contraceptive device
Q12.2,Replacement of intrauterine contraceptive device
Q12.3,Removal of displaced intrauterine contraceptive device NEC
Q12.4,Removal of intrauterine contraceptive device NEC
Q12.8,Other specified intrauterine contraceptive device
Q12.9,Unspecified intrauterine contraceptive device
Q13.1,Transfer of embryo to uterus NEC
Q13.3,Intrauterine artificial insemination
Q13.4,Intrauterine insemination with superovulation using partner sperm
Q13.5,Intrauterine insemination with superovulation using donor sperm
Q13.6,Intrauterine insemination without superovulation using partner sperm
Q13.7,Intrauterine insemination without superovulation using donor sperm
Q13.9,Unspecified introduction of gamete into uterine cavity
Q14.2,Intraamniotic injection of abortifacient NEC
Q14.3,Extraamniotic injection of prostaglandin
Q14.4,Extraamniotic injection of abortifacient NEC
Q14.5,Insertion of prostaglandin pessary
Q14.6,Insertion of abortifacient pessary NEC
Q14.8,Other specified introduction of abortifacient into uterine cavity
Q14.9,Unspecified introduction of abortifacient into uterine cavity
Q15.1,Introduction of radioactive substance into uterine cavity
Q15.2,Introduction of therapeutic substance into uterine cavity NEC
Q15.4,Removal of therapeutic substance from uterine cavity
Q15.9,Unspecified introduction of other substance into uterine cavity
Q16.1,Vaginal excision of lesion of uterus
Q16.2,Balloon ablation of endometrium
Q16.3,Microwave ablation of endometrium NEC
Q16.5,Radiofrequency ablation of endometrium
Q16.8,Other specified other vaginal operations on uterus
Q16.9,Unspecified other vaginal operations on uterus
Q17.1,Endoscopic resection of lesion of uterus
Q17.2,Endoscopic cauterisation of lesion of uterus
Q17.4,Endoscopic destruction of lesion of uterus NEC
Q17.6,Endoscopic microwave ablation of endometrium
Q17.7,Endoscopic balloon ablation of endometrium
Q17.8,Other specified therapeutic endoscopic operations on uterus
Q17.9,Unspecified therapeutic endoscopic operations on uterus
Q18.1,Diagnostic endoscopic examination of uterus and biopsy of lesion of uterus
Q18.8,Other specified diagnostic endoscopic examination of uterus
Q18.9,Unspecified diagnostic endoscopic examination of uterus
Q19.1,Connection of uterus to vagina
Q19.8,Other specified
Q19.9,Unspecified
Q20.1,Freeing of adhesions of uterus
Q20.2,Biopsy of lesion of uterus NEC
Q20.3,Manual manipulation of uterus
Q20.4,Vaginofixation of uterus
Q20.5,Exploration of uterus NEC
Q20.6,Focused ultrasound to lesion of uterus
Q20.8,Other specified other operations on uterus
Q20.9,Unspecified other operations on uterus
Q21.1,Transmyometrial transfer of embryo to uterus
Q22.1,Bilateral salpingoophorectomy
Q22.2,Bilateral salpingectomy NEC
Q22.3,Bilateral oophorectomy NEC
Q23.1,Unilateral salpingoophorectomy NEC
Q23.3,Unilateral salpingectomy NEC
Q23.5,Unilateral oophorectomy NEC
Q24.2,Salpingectomy NEC
Q24.9,Unspecified other excision of adnexa of uterus
Q25.1,Excision of lesion of fallopian tube
Q25.8,Other specified partial excision of fallopian tube
Q25.9,Unspecified partial excision of fallopian tube
Q26.1,Insertion of tubal prosthesis into fallopian tube
Q26.2,Revision of tubal prosthesis in fallopian tube
Q26.3,Removal of tubal prosthesis from fallopian tube
Q26.8,Other specified placement of prosthesis in fallopian tube
Q26.9,Unspecified placement of prosthesis in fallopian tube
Q27.2,Open bilateral clipping of fallopian tubes
Q27.9,Unspecified open bilateral occlusion of fallopian tubes
Q28.8,Other specified other open occlusion of fallopian tube
Q30.1,Reconstruction of fallopian tube
Q30.4,Salpingostomy
Q30.9,Unspecified other repair of fallopian tube
Q32.8,Other specified operations on fimbria
Q34.4,Exploration of fallopian tube
Q35.2,Endoscopic bilateral clipping of fallopian tubes
Q35.3,Endoscopic bilateral ringing of fallopian tubes
Q35.4,Endoscopic bilateral placement of intrafallopian implants
Q35.8,Other specified endoscopic bilateral occlusion of fallopian tubes
Q35.9,Unspecified endoscopic bilateral occlusion of fallopian tubes
Q36.1,Endoscopic occlusion of remaining solitary fallopian tube
Q36.8,Other specified other endoscopic occlusion of fallopian tube
Q36.9,Unspecified other endoscopic occlusion of fallopian tube
Q37.1,Endoscopic removal of clip from fallopian tube
Q37.8,Other specified endoscopic reversal of female sterilisation
Q37.9,Unspecified endoscopic reversal of female sterilisation
Q38.1,Endoscopic freeing of adhesions of fallopian tube
Q38.3,Endoscopic intrafallopian transfer of gamete
Q38.8,Other specified other therapeutic endoscopic operations on fallopian tube
Q38.9,Unspecified other therapeutic endoscopic operations on fallopian tube
Q39.1,Diagnostic endoscopic examination of fallopian tube and biopsy of lesion of fallopian tube
Q39.9,Unspecified diagnostic endoscopic examination of fallopian tube
Q41.1,Salpingography
Q41.2,Hydrotubation of fallopian tube
Q41.3,Dye test of fallopian tube
Q41.4,Insufflation of fallopian tube
Q41.5,Operations to ensure patency of fallopian tube NEC
Q41.8,Other specified other operations on fallopian tube
Q43.2,Excision of lesion of ovary
Q44.8,Other specified open destruction of lesion of ovary
Q45.9,Unspecified repair of ovary
Q47.4,Open drainage of cyst of ovary
Q48.3,Laparoscopic oocyte recovery
Q48.4,Transvaginal oocyte recovery
Q48.9,Unspecified oocyte recovery
Q49.1,Endoscopic extirpation of lesion of ovary NEC
Q49.2,Endoscopic freeing of adhesions of ovary
Q49.3,Endoscopic drainage of cyst of ovary
Q49.4,Endoscopic drilling of ovary
Q50.8,Other specified diagnostic endoscopic examination of ovary
Q50.9,Unspecified diagnostic endoscopic examination of ovary
Q51.1,Transvaginal ultrasound guided aspiration of ovarian cyst
Q54.4,Suspension of uterus using mesh NEC
Q54.5,Sacrohysteropexy
Q54.8,Other specified operations on other ligament of uterus
Q55.1,Examination of female genital tract under anaesthetic and papanicolau smear
Q55.2,Examination of female genital tract under anaesthetic NEC
Q55.3,Papanicolau smear NEC
Q55.4,Colposcopy of cervix
Q55.5,Transvaginal ultrasound examination of female genital tract
Q55.6,Genital swab
Q55.8,Other specified other examination of female genital tract
Q55.9,Unspecified other examination of female genital tract
Q56.1,Fertility investigation of female NEC
Q56.8,Other specified other operations on female genital tract
Q56.9,Unspecified other operations on female genital tract
R01.1,Fetoscopic blood transfusion of fetus
R02.2,Fetoscopic examination of fetus and fetoscopic sampling of fetal blood
R03.1,Early selective feticide
R03.2,Late selective feticide
R03.8,Other specified selective destruction of fetus
R03.9,Unspecified selective destruction of fetus
R04.1,Percutaneous insertion of fetal vesicoamniotic shunt
R04.2,Percutaneous insertion of fetal pleuroamniotic shunt
R04.3,Percutaneous blood transfusion of fetus
R04.4,Percutaneous insertion of fetal pleural drain
R04.5,Percutaneous insertion of fetal bladder drain
R04.8,Other specified therapeutic percutaneous operations on fetus
R05.1,Percutaneous biopsy of fetus
R05.2,Percutaneous sampling of fetal blood
R05.3,Percutaneous sampling of chorionic villus
R07.2,Endoscopic serial drainage of amniotic fluid for twin-twin transfusion syndrome
R07.9,Unspecified therapeutic endoscopic operations for twin-twin transfusion syndrome
R08.2,Percutaneous serial drainage of amniotic fluid for twin-twin transfusion syndrome
R08.9,Unspecified therapeutic percutaneous operations for twin-twin transfusion syndrome
R10.1,Drainage of amniotic cavity
R10.2,Diagnostic amniocentesis
R10.3,Amnioscopy
R10.4,Sampling of chorionic villus NEC
R10.5,Biopsy of placenta NEC
R10.8,Other specified other operations on amniotic cavity
R10.9,Unspecified other operations on amniotic cavity
R12.1,Cerclage of cervix of gravid uterus
R12.2,Removal of cerclage from cervix of gravid uterus
R12.4,External cephalic version
R12.8,Other specified operations on gravid uterus
R14.8,Other specified surgical induction of labour
R14.9,Unspecified surgical induction of labour
R15.1,Medical induction of labour
R15.8,Other specified other induction of labour
R15.9,Unspecified other induction of labour
R17.2,Elective lower uterine segment caesarean delivery
R17.8,Other specified elective caesarean delivery
R18.2,Lower uterine segment caesarean delivery NEC
R18.8,Other specified other caesarean delivery
R18.9,Unspecified other caesarean delivery
R19.8,Other specified breech extraction delivery
R20.1,Spontaneous breech delivery
R20.9,Unspecified other breech delivery
R21.4,Mid forceps cephalic delivery NEC
R21.5,Low forceps cephalic delivery
R21.9,Unspecified forceps cephalic delivery
R22.1,High vacuum delivery
R22.2,Low vacuum delivery
R22.9,Unspecified vacuum delivery
R24.9,All normal delivery
R25.1,Caesarean hysterectomy
R25.2,Destructive operation to facilitate delivery
R25.9,Unspecified other methods of delivery
R27.8,Other specified other operations to facilitate delivery
R27.9,Unspecified other operations to facilitate delivery
R28.8,Other specified instrumental removal of products of conception from delivered uterus
R28.9,Unspecified instrumental removal of products of conception from delivered uterus
R29.1,Manual removal of placenta from delivered uterus
R29.8,Other specified manual removal of products of conception from delivered uterus
R29.9,Unspecified manual removal of products of conception from delivered uterus
R30.1,Repositioning of inverted delivered uterus
R30.2,Expression of placenta
R30.8,Other specified other operations on delivered uterus
R32.1,Repair of obstetric laceration of uterus or cervix uteri
R32.2,Repair of obstetric laceration of perineum and sphincter of anus
R32.4,Repair of minor obstetric laceration
R32.8,Other specified repair of obstetric laceration
R32.9,Unspecified repair of obstetric laceration
R34.8,Other specified other obstetric operations
R34.9,Unspecified other obstetric operations
R36.1,Dating scan
R36.2,Viability scan
R36.3,Mid trimester scan
R36.8,Other specified routine obstetric scan
R36.9,Unspecified routine obstetric scan
R37.1,Biophysical profile
R37.2,Detailed structural scan
R37.3,Fetal biometry
R37.4,Nuchal translucency scan
R37.5,Fetal ascites scan
R37.6,Rhesus detailed scan
R37.8,Other specified non routine obstetric scan for fetal observations
R37.9,Unspecified non routine obstetric scan for fetal observations
R38.1,Placental localisation scan
R38.2,Liquor volume scan
R38.8,Other specified other non routine obstetric scan
R38.9,Unspecified other non routine obstetric scan
R40.1,Maternal cervical assessment
R40.2,Cervical length scanning at 24 weeks
R40.8,Other specified other maternal physiological assessments
R40.9,Unspecified other maternal physiological assessments
R42.1,Doppler ultrasound scan of umbilical artery
R42.2,Doppler ultrasound scan of uterine artery
R42.3,Doppler ultrasound scan of middle cerebral artery of fetus
R42.8,Other specified obstetric doppler ultrasound
R42.9,Unspecified obstetric doppler ultrasound
R43.1,Ultrasound monitoring of luteal phase
R43.2,Ultrasound monitoring of early pregnancy
R43.8,Other specified ultrasound monitoring
R43.9,Unspecified ultrasound monitoring
S01.1,Facelift and tightening of platysma
S01.2,Facelift NEC
S01.4,Browlift NEC
S01.5,Direct browlift
S01.8,Other specified plastic excision of skin of head or neck
S01.9,Unspecified plastic excision of skin of head or neck
S02.1,Abdominoplasty
S02.2,Abdominolipectomy
S02.8,Other specified plastic excision of skin of abdominal wall
S02.9,Unspecified plastic excision of skin of abdominal wall
S03.2,Thigh lift
S03.3,Excision of redundant skin or fat of arm
S03.8,Other specified plastic excision of skin of other site
S03.9,Unspecified plastic excision of skin of other site
S04.1,Excision of sweat gland bearing skin of axilla
S04.2,Excision of sweat gland bearing skin of groin
S04.3,Excision of sweat gland bearing skin NEC
S04.8,Other specified other excision of skin
S04.9,Unspecified other excision of skin
S05.1,Microscopically controlled excision of lesion of skin of head or neck using fresh tissue technique
S05.2,Microscopically controlled excision of lesion of skin using fresh tissue technique NEC
S05.3,Microscopically controlled excision of lesion of skin of head or neck using chemosurgical technique
S05.4,Microscopically controlled excision of lesion of skin using chemosurgical technique NEC
S05.5,Microscopically controlled excision of lesion of skin of head or neck NEC
S05.8,Other specified microscopically controlled excision of lesion of skin
S05.9,Unspecified microscopically controlled excision of lesion of skin
S06.1,Marsupialisation of lesion of skin of head or neck
S06.2,Marsupialisation of lesion of skin NEC
S06.3,Shave excision of lesion of skin of head or neck
S06.4,Shave excision of lesion of skin NEC
S06.5,Excision of lesion of skin of head or neck NEC
S06.6,Re-excision of skin margins of head or neck
S06.7,Re-excision of skin margins NEC
S06.8,Other specified other excision of lesion of skin
S06.9,Unspecified other excision of lesion of skin
S07.1,Photodynamic therapy of skin of whole body
S07.8,Other specified photodynamic therapy of skin
S07.9,Unspecified photodynamic therapy of skin
S08.1,Curettage and cauterisation of lesion of skin of head or neck
S08.2,Curettage and cauterisation of lesion of skin NEC
S08.3,Curettage of lesion of skin of head or neck NEC
S08.8,Other specified curettage of lesion of skin
S08.9,Unspecified curettage of lesion of skin
S09.1,Laser destruction of lesion of skin of head or neck
S09.2,Laser destruction of lesion of skin NEC
S09.3,Photodestruction of lesion of skin of head or neck NEC
S09.4,Infrared photocoagulation of lesion of skin of head or neck
S09.5,Infrared photocoagulation of lesion of skin NEC
S09.8,Other specified photodestruction of lesion of skin
S09.9,Unspecified photodestruction of lesion of skin
S10.1,Cauterisation of lesion of skin of head or neck NEC
S10.2,Cryotherapy to lesion of skin of head or neck
S10.3,Chemical peeling of lesion of skin of head or neck
S10.4,Electrolysis to lesion of skin of head or neck
S10.5,Electrodessication of lesion of skin of the head or neck
S10.8,Other specified other destruction of lesion of skin of head or neck
S10.9,Unspecified other destruction of lesion of skin of head or neck
S11.1,Cauterisation of lesion of skin NEC
S11.2,Cryotherapy to lesion of skin NEC
S11.3,Chemical peeling of lesion of skin NEC
S11.4,Electrolysis to lesion of skin NEC
S11.5,Electrodessication of lesion of skin NEC
S11.8,Other specified other destruction of lesion of skin of other site
S11.9,Unspecified other destruction of lesion of skin of other site
S12.1,Ultraviolet A light therapy to skin
S12.2,Ultraviolet B light therapy to skin
S12.3,Combined photochemotherapy and ultraviolet A light therapy to skin
S12.4,Combined photochemotherapy and ultraviolet B light therapy to skin
S12.8,Other specified phototherapy to skin
S12.9,Unspecified phototherapy to skin
S13.1,Punch biopsy of lesion of skin of head or neck
S13.2,Punch biopsy of lesion of skin NEC
S13.8,Other specified punch biopsy of skin
S13.9,Unspecified punch biopsy of skin
S14.1,Shave biopsy of lesion of skin of head or neck
S14.2,Shave biopsy of lesion of skin NEC
S14.3,Shaved deep ellipse biopsy of lesion of skin of head or neck
S14.4,Shaved deep ellipse biopsy of lesion of skin NEC
S14.8,Other specified shave biopsy of skin
S14.9,Unspecified shave biopsy of skin
S15.1,Biopsy of lesion of skin of head or neck NEC
S15.2,Biopsy of lesion of skin NEC
S15.8,Other specified other biopsy of skin
S15.9,Unspecified other biopsy of skin
S17.1,Distant myocutaneous subcutaneous pedicle flap to head or neck
S17.2,Distant myocutaneous subcutaneous pedicle flap NEC
S17.8,Other specified distant flap of skin and muscle
S18.1,Distant fasciocutaneous subcutaneous pedicle flap to head or neck
S18.2,Distant fasciocutaneous subcutaneous pedicle flap NEC
S18.3,Distant fasciocutaneous flap to head or neck NEC
S18.9,Unspecified distant flap of skin and fascia
S19.1,Distant tube pedicle flap of skin to head or neck
S19.2,Distant tube pedicle flap of skin NEC
S19.8,Other specified distant pedicle flap of skin
S20.2,Axial pattern distant flap of skin NEC
S20.3,Random pattern distant flap of skin to head or neck
S20.4,Random pattern distant flap of skin NEC
S20.5,Distant flap of skin to head or neck NEC
S20.9,Unspecified other distant flap of skin
S21.1,Hair bearing flap of skin to scalp for male pattern baldness
S21.2,Hair bearing flap of skin to scalp NEC
S21.9,Unspecified hair bearing flap of skin
S22.1,Neurovascular island sensory flap of skin to head or neck
S23.1,Z plasty to head or neck
S23.2,Z plasty NEC
S23.3,W plasty to head or neck
S23.9,Unspecified flap operations to relax contracture of skin
S24.1,Local myocutaneous subcutaneous pedicle flap to head or neck
S24.2,Local myocutaneous subcutaneous pedicle flap NEC
S24.3,Local myocutaneous flap to head or neck NEC
S25.1,Local fasciocutaneous subcutaneous pedicle flap to head or neck
S25.2,Local fasciocutaneous subcutaneous pedicle flap NEC
S25.3,Local fasciocutaneous flap to head or neck NEC
S25.8,Other specified local flap of skin and fascia
S25.9,Unspecified local flap of skin and fascia
S26.2,Axial pattern local subcutaneous pedicle flap of skin NEC
S26.3,Random pattern local subcutaneous pedicle flap of skin to head or neck
S26.4,Random pattern local subcutaneous pedicle flap of skin NEC
S26.5,Local subcutaneous pedicle flap of skin to head or neck NEC
S26.8,Other specified local subcutaneous pedicle flap of skin
S26.9,Unspecified local subcutaneous pedicle flap of skin
S27.1,Axial pattern local flap of skin to head or neck NEC
S27.2,Axial pattern local flap of skin NEC
S27.3,Random pattern local flap of skin to head or neck NEC
S27.4,Random pattern local flap of skin NEC
S27.5,Local flap of skin to head or neck NEC
S27.8,Other specified other local flap of skin
S27.9,Unspecified other local flap of skin
S28.8,Other specified flap of mucosa
S28.9,Unspecified flap of mucosa
S30.1,Delay of flap of skin to head or neck
S30.2,Transfer of flap of skin to head or neck
S30.3,Revision of flap of skin to head or neck
S30.5,Thinning of flap of skin to head or neck
S30.6,Removal of flap of skin to head or neck
S30.8,Other specified other operations on flap of skin to head or neck
S30.9,Unspecified other operations on flap of skin to head or neck
S31.2,Transfer of flap of skin NEC
S31.3,Revision of flap of skin NEC
S31.5,Thinning of flap of skin NEC
S31.6,Removal of flap of skin NEC
S31.9,Unspecified other operations on flap of skin to other site
S33.2,Hair bearing strip graft to scalp for male pattern baldness
S33.8,Other specified hair bearing graft of skin to scalp
S33.9,Unspecified hair bearing graft of skin to scalp
S34.2,Hair bearing graft to chin area
S34.9,Unspecified hair bearing graft of skin to other site
S35.1,Meshed split autograft of skin to head or neck
S35.2,Meshed split autograft of skin NEC
S35.3,Split autograft of skin to head or neck NEC
S35.8,Other specified split autograft of skin
S35.9,Unspecified split autograft of skin
S36.1,Full thickness autograft of skin to head or neck
S36.2,Full thickness autograft of skin NEC
S36.3,Composite autograft of skin to head or neck
S36.4,Composite autograft of skin NEC
S36.5,Pinch graft of skin to head or neck
S36.6,Pinch graft of skin NEC
S36.8,Other specified other autograft of skin
S36.9,Unspecified other autograft of skin
S37.1,Allograft of skin to head or neck
S37.2,Allograft of skin NEC
S37.3,Xenograft of skin to head or neck
S37.4,Xenograft of skin NEC
S37.8,Other specified other graft of skin
S37.9,Unspecified other graft of skin
S38.1,Graft of mucosa to head or neck
S38.8,Other specified graft of mucosa
S38.9,Unspecified graft of mucosa
S39.8,Other specified graft of other tissue to skin
S39.9,Unspecified graft of other tissue to skin
S40.1,Tape closure of skin NEC
S40.2,Tissue adhesive closure of skin NEC
S40.3,Tape closure of skin of head or neck
S40.4,Tissue adhesive closure of skin of head or neck
S40.8,Other specified other closure of skin
S40.9,Unspecified other closure of skin
S41.1,Primary suture of skin of head or neck NEC
S41.2,Delayed primary suture of skin of head or neck
S41.3,Secondary suture of skin of head or neck
S41.4,Resuture of skin of head or neck
S41.8,Other specified suture of skin of head or neck
S41.9,Unspecified suture of skin of head or neck
S42.1,Primary suture of skin NEC
S42.2,Delayed primary suture of skin NEC
S42.3,Secondary suture of skin NEC
S42.4,Resuture of skin NEC
S42.8,Other specified suture of skin of other site
S42.9,Unspecified suture of skin of other site
S43.1,Removal of clip from skin of head or neck
S43.2,Removal of clip from skin NEC
S43.3,Removal of suture from skin of head or neck
S43.4,Removal of suture from skin NEC
S43.8,Other specified removal of repair material from skin
S43.9,Unspecified removal of repair material from skin
S44.1,Removal of metal from skin of head or neck
S44.2,Removal of metal from skin NEC
S44.3,Removal of glass from skin of head or neck
S44.4,Removal of glass from skin NEC
S44.5,Removal of inorganic foreign body from skin of head or neck NEC
S44.6,Removal of inorganic foreign body from skin NEC
S44.8,Other specified removal of other inorganic substance from skin
S44.9,Unspecified removal of other inorganic substance from skin
S45.1,Removal of dirt from skin of head or neck
S45.2,Removal of dirt from skin NEC
S45.3,Removal of organic material from skin of head or neck NEC
S45.4,Removal of organic material from skin NEC
S45.5,Removal of foreign body from skin of head or neck NEC
S45.6,Removal of foreign body from skin NEC
S45.8,Other specified removal of other substance from skin
S45.9,Unspecified removal of other substance from skin
S47.1,Drainage of lesion of skin of head or neck
S47.2,Drainage of lesion of skin NEC
S47.3,Incision of lesion of skin of head or neck
S47.4,Incision of lesion of skin NEC
